Country_ISO3,Year,Technology,Value
ARE,2016,Solar,0.5
ARE,2016,Storage (not electromobility),2.0
ARE,2017,Air - Rail - Marine,0.2
ARE,2017,All technologies (total patents),101.09
ARE,2017,Building Energy Efficiency,1.0
ARE,2017,Grid,2.0
ARE,2017,Hybrid - Electric - Electromobility,2.0
ARE,2017,Industry Energy Efficiency or substitution,1.6600000000000001
ARE,2017,Other Energy Efficiency ,2.75
ARE,2017,Other Road Transport,0.5
ARE,2017,Solar,2.84
ARE,2017,Storage (not electromobility),3.0
ARE,2017,Wind,1.0
ARE,2018,Air - Rail - Marine,2.5
ARE,2018,All technologies (total patents),98.8
ARE,2018,Building Energy Efficiency,1.0
ARE,2018,Grid,2.0
ARE,2018,Other Energy Efficiency ,1.25
ARE,2018,Renewable Energy Integration in Buildings,0.5
ARE,2018,Solar,1.5
ARE,2018,Storage (not electromobility),2.0
ARE,2018,Wind,1.0
ARE,2019,All technologies (total patents),109.7
ARE,2019,Bioenergy,1.0
ARE,2019,Hybrid - Electric - Electromobility,0.33
ARE,2019,Hydrogen and Fuel Cells,0.25
ARE,2019,Solar,1.0
ARE,2019,Storage (not electromobility),1.75
ARG,1990,All technologies (total patents),46.25
ARG,1990,Building Energy Efficiency,1.0
ARG,1990,Carbon Capture and Storage,0.75
ARG,1990,Industry Energy Efficiency or substitution,1.0
ARG,1990,Other Renewables,3.0
ARG,2000,Air - Rail - Marine,1.0
ARG,2000,All technologies (total patents),131.31
ARG,2000,Other Road Transport,2.0
ARG,2005,All technologies (total patents),136.89
ARG,2005,Bioenergy,1.0
ARG,2005,Hydrogen and Fuel Cells,2.0
ARG,2005,Other Energy Efficiency ,0.7
ARG,2005,Other Road Transport,2.0
ARG,2005,Storage (not electromobility),0.5
ARG,2005,Wind,2.0
ARG,2010,All technologies (total patents),138.79
ARG,2010,Bioenergy,1.0
ARG,2010,Building Energy Efficiency,1.0
ARG,2010,Hydrogen and Fuel Cells,0.33
ARG,2010,Industry Energy Efficiency or substitution,0.5
ARG,2010,Other Road Transport,1.0
ARG,2010,Storage (not electromobility),0.33
ARG,2010,Wind,1.5
ARG,2015,Air - Rail - Marine,0.5
ARG,2015,All technologies (total patents),145.1
ARG,2015,Bioenergy,0.5
ARG,2015,Hybrid - Electric - Electromobility,1.0
ARG,2015,Industry Energy Efficiency or substitution,1.0
ARG,2016,All technologies (total patents),119.35
ARG,2016,Bioenergy,1.0
ARG,2016,Building Energy Efficiency,1.0
ARG,2016,Hybrid - Electric - Electromobility,1.33
ARG,2016,Hydro,0.5
ARG,2016,Other Energy Efficiency ,0.25
ARG,2016,Other Renewables,0.5
ARG,2016,Renewable Energy Integration in Buildings,0.58
ARG,2016,Solar,2.25
ARG,2016,Storage (not electromobility),1.25
ARG,2016,Wind,0.67
ARG,2017,All technologies (total patents),111.3
ARG,2017,Building Energy Efficiency,0.5
ARG,2017,Industry Energy Efficiency or substitution,2.0
ARG,2017,Other Energy Efficiency ,2.0
ARG,2017,Other Road Transport,0.5
ARG,2017,Renewable Energy Integration in Buildings,1.5
ARG,2017,Solar,3.0
ARG,2017,Storage (not electromobility),2.5
ARG,2017,Wind,1.83
ARG,2018,All technologies (total patents),121.79
ARG,2018,Nuclear,1.0
ARG,2018,Other Energy Efficiency ,2.0
ARG,2018,Other Renewables,1.0
ARG,2018,Other Road Transport,0.5
ARG,2019,All technologies (total patents),98.0
ARG,2019,Nuclear,1.0
ARG,2019,Storage (not electromobility),1.33
ARM,1990,All technologies (total patents),0.33
ARM,2000,All technologies (total patents),16.58
ARM,2005,All technologies (total patents),16.25
ARM,2005,Solar,0.5
ARM,2010,All technologies (total patents),18.95
ARM,2010,Building Energy Efficiency,0.5
ARM,2010,Solar,0.5
ARM,2015,All technologies (total patents),18.66
ARM,2015,Hybrid - Electric - Electromobility,0.5
ARM,2015,Solar,2.5
ARM,2015,Storage (not electromobility),0.5
ARM,2015,Wind,1.0
ARM,2016,All technologies (total patents),23.46
ARM,2016,Solar,1.5
ARM,2017,All technologies (total patents),18.42
ARM,2017,Hydrogen and Fuel Cells,0.5
ARM,2017,Solar,0.5
ARM,2018,All technologies (total patents),10.83
ARM,2018,Solar,0.5
ARM,2019,All technologies (total patents),17.75
ARM,2019,Other Energy Efficiency ,1.0
ARM,2019,Wind,1.0
ATG,2000,All technologies (total patents),2.67
ATG,2005,All technologies (total patents),2.33
ATG,2015,All technologies (total patents),0.33
ATG,2017,All technologies (total patents),0.33
ATG,2017,Other Energy Efficiency ,0.33
ATG,2019,All technologies (total patents),1.5
AUS,1990,Air - Rail - Marine,2.0
AUS,1990,All technologies (total patents),1040.33
AUS,1990,Bioenergy,4.5
AUS,1990,Building Energy Efficiency,3.0
AUS,1990,Carbon Capture and Storage,1.0
AUS,1990,Hybrid - Electric - Electromobility,1.0
AUS,1990,Industry Energy Efficiency or substitution,13.75
AUS,1990,Other Energy Efficiency ,0.5
AUS,1990,Other Road Transport,11.0
AUS,1990,Renewable Energy Integration in Buildings,1.0
AUS,1990,Solar,6.0
AUS,1990,Storage (not electromobility),2.0
AUS,2000,Air - Rail - Marine,3.5
AUS,2000,All technologies (total patents),2575.03
AUS,2000,Bioenergy,1.0
AUS,2000,Building Energy Efficiency,17.08
AUS,2000,Grid,1.0
AUS,2000,Hybrid - Electric - Electromobility,5.0
AUS,2000,Hydro,3.5
AUS,2000,Hydrogen and Fuel Cells,3.5
AUS,2000,Industry Energy Efficiency or substitution,15.83
AUS,2000,Other Energy Efficiency ,2.17
AUS,2000,Other Renewables,3.0
AUS,2000,Other Road Transport,22.0
AUS,2000,Renewable Energy Integration in Buildings,5.0
AUS,2000,Solar,19.58
AUS,2000,Storage (not electromobility),13.0
AUS,2000,Wind,1.5
AUS,2005,Air - Rail - Marine,7.0
AUS,2005,All technologies (total patents),2923.69
AUS,2005,Bioenergy,2.5
AUS,2005,Building Energy Efficiency,21.75
AUS,2005,Carbon Capture and Storage,6.5
AUS,2005,Hybrid - Electric - Electromobility,5.0
AUS,2005,Hydro,5.0
AUS,2005,Hydrogen and Fuel Cells,13.0
AUS,2005,Industry Energy Efficiency or substitution,23.25
AUS,2005,Nuclear,1.0
AUS,2005,Other Energy Efficiency ,8.0
AUS,2005,Other Renewables,9.0
AUS,2005,Other Road Transport,13.83
AUS,2005,Renewable Energy Integration in Buildings,9.0
AUS,2005,Solar,26.25
AUS,2005,Storage (not electromobility),14.75
AUS,2005,Wind,7.5
AUS,2010,Air - Rail - Marine,11.0
AUS,2010,All technologies (total patents),2389.84
AUS,2010,Bioenergy,13.0
AUS,2010,Building Energy Efficiency,14.58
AUS,2010,Carbon Capture and Storage,14.5
AUS,2010,Grid,1.0
AUS,2010,Hybrid - Electric - Electromobility,6.0
AUS,2010,Hydro,5.83
AUS,2010,Hydrogen and Fuel Cells,19.5
AUS,2010,Industry Energy Efficiency or substitution,34.17
AUS,2010,Other Energy Efficiency ,14.56
AUS,2010,Other Renewables,12.17
AUS,2010,Other Road Transport,12.83
AUS,2010,Renewable Energy Integration in Buildings,11.33
AUS,2010,Solar,65.61
AUS,2010,Storage (not electromobility),19.83
AUS,2010,Wind,7.0
AUS,2015,Air - Rail - Marine,6.83
AUS,2015,All technologies (total patents),2643.09
AUS,2015,Bioenergy,15.0
AUS,2015,Building Energy Efficiency,28.83
AUS,2015,Carbon Capture and Storage,8.0
AUS,2015,Grid,6.0
AUS,2015,Hybrid - Electric - Electromobility,12.58
AUS,2015,Hydro,3.33
AUS,2015,Hydrogen and Fuel Cells,19.33
AUS,2015,Industry Energy Efficiency or substitution,30.17
AUS,2015,Nuclear,2.5
AUS,2015,Other Energy Efficiency ,17.83
AUS,2015,Other Renewables,6.33
AUS,2015,Other Road Transport,8.25
AUS,2015,Renewable Energy Integration in Buildings,7.5
AUS,2015,Solar,45.120000000000005
AUS,2015,Storage (not electromobility),26.0
AUS,2015,Wind,5.5
AUS,2016,Agriculture Energy Efficiency,2.0
AUS,2016,Air - Rail - Marine,7.0
AUS,2016,All technologies (total patents),2724.75
AUS,2016,Bioenergy,20.5
AUS,2016,Building Energy Efficiency,28.03
AUS,2016,Carbon Capture and Storage,8.67
AUS,2016,Grid,0.5
AUS,2016,Hybrid - Electric - Electromobility,9.0
AUS,2016,Hydro,3.0
AUS,2016,Hydrogen and Fuel Cells,9.0
AUS,2016,Industry Energy Efficiency or substitution,25.58
AUS,2016,Nuclear,1.0
AUS,2016,Other Energy Efficiency ,21.03
AUS,2016,Other Renewables,8.33
AUS,2016,Other Road Transport,6.0
AUS,2016,Renewable Energy Integration in Buildings,13.25
AUS,2016,Solar,37.92
AUS,2016,Storage (not electromobility),22.83
AUS,2016,Wind,3.5
AUS,2017,Air - Rail - Marine,8.83
AUS,2017,All technologies (total patents),2573.6
AUS,2017,Bioenergy,12.5
AUS,2017,Building Energy Efficiency,26.83
AUS,2017,Carbon Capture and Storage,5.0
AUS,2017,Hybrid - Electric - Electromobility,14.0
AUS,2017,Hydro,4.0
AUS,2017,Hydrogen and Fuel Cells,17.08
AUS,2017,Industry Energy Efficiency or substitution,33.08
AUS,2017,Other Energy Efficiency ,17.67
AUS,2017,Other Renewables,6.33
AUS,2017,Other Road Transport,10.0
AUS,2017,Renewable Energy Integration in Buildings,13.25
AUS,2017,Solar,35.86
AUS,2017,Storage (not electromobility),32.42
AUS,2017,Wind,3.0
AUS,2018,Air - Rail - Marine,5.5
AUS,2018,All technologies (total patents),2567.72
AUS,2018,Bioenergy,12.5
AUS,2018,Building Energy Efficiency,20.83
AUS,2018,Carbon Capture and Storage,9.0
AUS,2018,Grid,1.0
AUS,2018,Hybrid - Electric - Electromobility,8.030000000000001
AUS,2018,Hydro,2.0
AUS,2018,Hydrogen and Fuel Cells,18.17
AUS,2018,Industry Energy Efficiency or substitution,40.83
AUS,2018,Nuclear,1.0
AUS,2018,Other Energy Efficiency ,14.33
AUS,2018,Other Renewables,1.0
AUS,2018,Other Road Transport,6.0
AUS,2018,Renewable Energy Integration in Buildings,9.0
AUS,2018,Solar,47.5
AUS,2018,Storage (not electromobility),21.12
AUS,2018,Wind,3.0
AUS,2019,Air - Rail - Marine,5.5
AUS,2019,All technologies (total patents),2452.8
AUS,2019,Bioenergy,13.5
AUS,2019,Building Energy Efficiency,17.67
AUS,2019,Carbon Capture and Storage,1.7
AUS,2019,Grid,1.0
AUS,2019,Hybrid - Electric - Electromobility,6.4
AUS,2019,Hydro,1.0
AUS,2019,Hydrogen and Fuel Cells,20.25
AUS,2019,Industry Energy Efficiency or substitution,25.0
AUS,2019,Other Energy Efficiency ,14.99
AUS,2019,Other Renewables,2.5
AUS,2019,Other Road Transport,4.8
AUS,2019,Renewable Energy Integration in Buildings,13.0
AUS,2019,Solar,36.33
AUS,2019,Storage (not electromobility),37.48
AUS,2019,Wind,5.5
AUT,1990,All technologies (total patents),1072.67
AUT,1990,Bioenergy,1.0
AUT,1990,Building Energy Efficiency,9.5
AUT,1990,Grid,1.0
AUT,1990,Hybrid - Electric - Electromobility,5.0
AUT,1990,Hydro,1.0
AUT,1990,Industry Energy Efficiency or substitution,15.83
AUT,1990,Nuclear,0.5
AUT,1990,Other Energy Efficiency ,2.5
AUT,1990,Other Road Transport,10.5
AUT,1990,Renewable Energy Integration in Buildings,2.0
AUT,1990,Solar,2.5
AUT,1990,Storage (not electromobility),2.0
AUT,2000,Air - Rail - Marine,1.83
AUT,2000,All technologies (total patents),1960.65
AUT,2000,Bioenergy,1.0
AUT,2000,Building Energy Efficiency,15.75
AUT,2000,Hybrid - Electric - Electromobility,1.0
AUT,2000,Hydro,2.0
AUT,2000,Hydrogen and Fuel Cells,11.0
AUT,2000,Industry Energy Efficiency or substitution,22.33
AUT,2000,Other Energy Efficiency ,1.5
AUT,2000,Other Road Transport,37.0
AUT,2000,Renewable Energy Integration in Buildings,4.5
AUT,2000,Solar,6.0
AUT,2000,Storage (not electromobility),11.5
AUT,2000,Wind,3.0
AUT,2005,Air - Rail - Marine,3.0
AUT,2005,All technologies (total patents),2305.75
AUT,2005,Bioenergy,5.0
AUT,2005,Building Energy Efficiency,21.5
AUT,2005,Carbon Capture and Storage,0.25
AUT,2005,Hybrid - Electric - Electromobility,7.5
AUT,2005,Hydro,4.0
AUT,2005,Hydrogen and Fuel Cells,11.42
AUT,2005,Industry Energy Efficiency or substitution,12.33
AUT,2005,Nuclear,3.5
AUT,2005,Other Energy Efficiency ,10.5
AUT,2005,Other Renewables,3.0
AUT,2005,Other Road Transport,35.5
AUT,2005,Renewable Energy Integration in Buildings,9.5
AUT,2005,Solar,21.5
AUT,2005,Storage (not electromobility),5.75
AUT,2005,Wind,4.5
AUT,2010,Air - Rail - Marine,2.0
AUT,2010,All technologies (total patents),2574.67
AUT,2010,Bioenergy,7.0
AUT,2010,Building Energy Efficiency,45.5
AUT,2010,Carbon Capture and Storage,2.83
AUT,2010,Grid,0.5
AUT,2010,Hybrid - Electric - Electromobility,56.83
AUT,2010,Hydro,14.0
AUT,2010,Hydrogen and Fuel Cells,11.0
AUT,2010,Industry Energy Efficiency or substitution,12.73
AUT,2010,Nuclear,1.0
AUT,2010,Other Energy Efficiency ,10.53
AUT,2010,Other Renewables,2.0
AUT,2010,Other Road Transport,48.5
AUT,2010,Renewable Energy Integration in Buildings,22.83
AUT,2010,Solar,54.41
AUT,2010,Storage (not electromobility),33.17
AUT,2010,Wind,18.58
AUT,2015,Air - Rail - Marine,13.5
AUT,2015,All technologies (total patents),2741.72
AUT,2015,Bioenergy,9.5
AUT,2015,Building Energy Efficiency,79.17
AUT,2015,Carbon Capture and Storage,2.5
AUT,2015,Grid,1.0
AUT,2015,Hybrid - Electric - Electromobility,31.83
AUT,2015,Hydro,2.5
AUT,2015,Hydrogen and Fuel Cells,18.5
AUT,2015,Industry Energy Efficiency or substitution,7.83
AUT,2015,Other Energy Efficiency ,13.33
AUT,2015,Other Renewables,2.0
AUT,2015,Other Road Transport,50.67
AUT,2015,Renewable Energy Integration in Buildings,10.0
AUT,2015,Solar,24.0
AUT,2015,Storage (not electromobility),17.83
AUT,2015,Wind,7.0
AUT,2016,Air - Rail - Marine,5.0
AUT,2016,All technologies (total patents),2669.69
AUT,2016,Bioenergy,9.5
AUT,2016,Building Energy Efficiency,49.0
AUT,2016,Carbon Capture and Storage,1.5
AUT,2016,Grid,2.5
AUT,2016,Hybrid - Electric - Electromobility,44.0
AUT,2016,Hydro,5.5
AUT,2016,Hydrogen and Fuel Cells,14.5
AUT,2016,Industry Energy Efficiency or substitution,16.0
AUT,2016,Other Energy Efficiency ,11.67
AUT,2016,Other Road Transport,28.5
AUT,2016,Renewable Energy Integration in Buildings,5.83
AUT,2016,Solar,14.5
AUT,2016,Storage (not electromobility),46.5
AUT,2016,Wind,4.83
AUT,2017,Air - Rail - Marine,10.25
AUT,2017,All technologies (total patents),2670.67
AUT,2017,Bioenergy,5.5
AUT,2017,Building Energy Efficiency,55.0
AUT,2017,Carbon Capture and Storage,0.5
AUT,2017,Grid,0.5
AUT,2017,Hybrid - Electric - Electromobility,61.83
AUT,2017,Hydro,2.0
AUT,2017,Hydrogen and Fuel Cells,32.83
AUT,2017,Industry Energy Efficiency or substitution,20.25
AUT,2017,Other Energy Efficiency ,12.17
AUT,2017,Other Renewables,1.0
AUT,2017,Other Road Transport,26.17
AUT,2017,Renewable Energy Integration in Buildings,4.0
AUT,2017,Solar,10.19
AUT,2017,Storage (not electromobility),59.83
AUT,2017,Wind,6.5
AUT,2018,Air - Rail - Marine,3.0
AUT,2018,All technologies (total patents),2587.72
AUT,2018,Bioenergy,2.0
AUT,2018,Building Energy Efficiency,46.0
AUT,2018,Carbon Capture and Storage,2.0
AUT,2018,Grid,2.0
AUT,2018,Hybrid - Electric - Electromobility,59.53
AUT,2018,Hydro,4.5
AUT,2018,Hydrogen and Fuel Cells,29.17
AUT,2018,Industry Energy Efficiency or substitution,19.33
AUT,2018,Nuclear,1.0
AUT,2018,Other Energy Efficiency ,3.83
AUT,2018,Other Road Transport,45.5
AUT,2018,Renewable Energy Integration in Buildings,4.0
AUT,2018,Solar,10.88
AUT,2018,Storage (not electromobility),64.52
AUT,2018,Wind,12.33
AUT,2019,Agriculture Energy Efficiency,1.0
AUT,2019,Air - Rail - Marine,7.75
AUT,2019,All technologies (total patents),2578.07
AUT,2019,Bioenergy,8.5
AUT,2019,Building Energy Efficiency,44.58
AUT,2019,Carbon Capture and Storage,2.33
AUT,2019,Grid,0.5
AUT,2019,Hybrid - Electric - Electromobility,57.53
AUT,2019,Hydro,10.0
AUT,2019,Hydrogen and Fuel Cells,25.75
AUT,2019,Industry Energy Efficiency or substitution,15.0
AUT,2019,Nuclear,1.0
AUT,2019,Other Energy Efficiency ,17.5
AUT,2019,Other Road Transport,23.0
AUT,2019,Renewable Energy Integration in Buildings,7.5
AUT,2019,Solar,18.48
AUT,2019,Storage (not electromobility),67.03
AUT,2019,Wind,13.0
AZE,2000,All technologies (total patents),4.67
AZE,2005,All technologies (total patents),13.17
AZE,2010,All technologies (total patents),5.33
AZE,2010,Industry Energy Efficiency or substitution,1.0
AZE,2015,All technologies (total patents),12.95
AZE,2015,Storage (not electromobility),0.5
AZE,2016,All technologies (total patents),9.42
AZE,2016,Building Energy Efficiency,1.0
AZE,2016,Storage (not electromobility),0.5
AZE,2017,All technologies (total patents),10.0
AZE,2017,Building Energy Efficiency,0.5
AZE,2017,Other Road Transport,2.0
AZE,2018,All technologies (total patents),8.83
AZE,2018,Industry Energy Efficiency or substitution,0.5
AZE,2019,All technologies (total patents),2.7
AZE,2019,Other Road Transport,2.0
BDI,1990,All technologies (total patents),0.5
BDI,2000,All technologies (total patents),2.0
BDI,2005,All technologies (total patents),1.83
BDI,2010,All technologies (total patents),0.5
BDI,2010,Hydrogen and Fuel Cells,0.5
BDI,2015,All technologies (total patents),4.0
BDI,2016,All technologies (total patents),2.0
BEL,1990,Air - Rail - Marine,1.0
BEL,1990,All technologies (total patents),728.4
BEL,1990,Bioenergy,1.0
BEL,1990,Building Energy Efficiency,5.5
BEL,1990,Industry Energy Efficiency or substitution,9.5
BEL,1990,Nuclear,1.0
BEL,1990,Other Energy Efficiency ,1.0
BEL,1990,Renewable Energy Integration in Buildings,1.0
BEL,1990,Solar,3.0
BEL,1990,Storage (not electromobility),3.0
BEL,1990,Wind,1.0
BEL,2000,Air - Rail - Marine,2.0
BEL,2000,All technologies (total patents),1512.7
BEL,2000,Bioenergy,2.0
BEL,2000,Building Energy Efficiency,3.5
BEL,2000,Carbon Capture and Storage,0.67
BEL,2000,Hybrid - Electric - Electromobility,3.5
BEL,2000,Industry Energy Efficiency or substitution,7.25
BEL,2000,Other Energy Efficiency ,1.33
BEL,2000,Other Road Transport,8.2
BEL,2000,Renewable Energy Integration in Buildings,1.0
BEL,2000,Solar,6.5
BEL,2000,Wind,7.0
BEL,2005,Air - Rail - Marine,3.0
BEL,2005,All technologies (total patents),1948.71
BEL,2005,Bioenergy,1.0
BEL,2005,Building Energy Efficiency,7.87
BEL,2005,Carbon Capture and Storage,0.95
BEL,2005,Hydrogen and Fuel Cells,1.83
BEL,2005,Industry Energy Efficiency or substitution,20.21
BEL,2005,Other Energy Efficiency ,1.75
BEL,2005,Other Renewables,1.0
BEL,2005,Other Road Transport,8.17
BEL,2005,Renewable Energy Integration in Buildings,0.67
BEL,2005,Solar,9.17
BEL,2005,Storage (not electromobility),3.92
BEL,2005,Wind,3.0
BEL,2010,Air - Rail - Marine,3.83
BEL,2010,All technologies (total patents),1871.67
BEL,2010,Bioenergy,11.75
BEL,2010,Building Energy Efficiency,29.740000000000002
BEL,2010,Carbon Capture and Storage,2.17
BEL,2010,Grid,1.33
BEL,2010,Hybrid - Electric - Electromobility,3.25
BEL,2010,Hydro,2.0
BEL,2010,Hydrogen and Fuel Cells,13.29
BEL,2010,Industry Energy Efficiency or substitution,20.310000000000002
BEL,2010,Nuclear,0.5
BEL,2010,Other Energy Efficiency ,10.030000000000001
BEL,2010,Other Renewables,6.0
BEL,2010,Other Road Transport,11.92
BEL,2010,Renewable Energy Integration in Buildings,8.2
BEL,2010,Solar,40.53
BEL,2010,Storage (not electromobility),16.87
BEL,2010,Wind,13.17
BEL,2015,Agriculture Energy Efficiency,1.0
BEL,2015,Air - Rail - Marine,12.0
BEL,2015,All technologies (total patents),2055.5
BEL,2015,Bioenergy,4.0
BEL,2015,Building Energy Efficiency,20.33
BEL,2015,Carbon Capture and Storage,7.0
BEL,2015,Hybrid - Electric - Electromobility,2.0
BEL,2015,Hydro,3.33
BEL,2015,Hydrogen and Fuel Cells,9.33
BEL,2015,Industry Energy Efficiency or substitution,34.17
BEL,2015,Nuclear,1.0
BEL,2015,Other Energy Efficiency ,13.17
BEL,2015,Other Renewables,1.0
BEL,2015,Other Road Transport,21.17
BEL,2015,Renewable Energy Integration in Buildings,1.0
BEL,2015,Solar,22.06
BEL,2015,Storage (not electromobility),11.83
BEL,2015,Wind,3.5
BEL,2016,Agriculture Energy Efficiency,0.5
BEL,2016,Air - Rail - Marine,13.0
BEL,2016,All technologies (total patents),2150.41
BEL,2016,Bioenergy,7.33
BEL,2016,Building Energy Efficiency,22.03
BEL,2016,Carbon Capture and Storage,2.83
BEL,2016,Grid,2.5
BEL,2016,Hybrid - Electric - Electromobility,10.83
BEL,2016,Hydro,1.0
BEL,2016,Hydrogen and Fuel Cells,15.92
BEL,2016,Industry Energy Efficiency or substitution,26.25
BEL,2016,Other Energy Efficiency ,10.95
BEL,2016,Other Renewables,1.0
BEL,2016,Other Road Transport,22.0
BEL,2016,Renewable Energy Integration in Buildings,1.33
BEL,2016,Solar,14.83
BEL,2016,Storage (not electromobility),9.5
BEL,2016,Wind,3.0
BEL,2017,Air - Rail - Marine,19.33
BEL,2017,All technologies (total patents),2031.74
BEL,2017,Bioenergy,13.5
BEL,2017,Building Energy Efficiency,18.17
BEL,2017,Carbon Capture and Storage,3.5
BEL,2017,Grid,1.5
BEL,2017,Hybrid - Electric - Electromobility,6.83
BEL,2017,Hydrogen and Fuel Cells,15.5
BEL,2017,Industry Energy Efficiency or substitution,29.67
BEL,2017,Other Energy Efficiency ,3.96
BEL,2017,Other Renewables,2.0
BEL,2017,Other Road Transport,15.25
BEL,2017,Renewable Energy Integration in Buildings,6.33
BEL,2017,Solar,15.0
BEL,2017,Storage (not electromobility),17.17
BEL,2017,Wind,8.5
BEL,2018,Agriculture Energy Efficiency,1.0
BEL,2018,Air - Rail - Marine,13.0
BEL,2018,All technologies (total patents),2082.86
BEL,2018,Bioenergy,6.5
BEL,2018,Building Energy Efficiency,31.159999999999997
BEL,2018,Carbon Capture and Storage,2.33
BEL,2018,Grid,3.0
BEL,2018,Hybrid - Electric - Electromobility,7.0
BEL,2018,Hydro,1.0
BEL,2018,Hydrogen and Fuel Cells,9.5
BEL,2018,Industry Energy Efficiency or substitution,25.07
BEL,2018,Other Energy Efficiency ,1.5
BEL,2018,Other Road Transport,16.17
BEL,2018,Renewable Energy Integration in Buildings,3.5
BEL,2018,Solar,15.73
BEL,2018,Storage (not electromobility),20.53
BEL,2018,Wind,17.33
BEL,2019,Air - Rail - Marine,11.0
BEL,2019,All technologies (total patents),2049.21
BEL,2019,Bioenergy,4.0
BEL,2019,Building Energy Efficiency,20.33
BEL,2019,Carbon Capture and Storage,1.5
BEL,2019,Hybrid - Electric - Electromobility,4.25
BEL,2019,Hydrogen and Fuel Cells,5.0
BEL,2019,Industry Energy Efficiency or substitution,25.83
BEL,2019,Nuclear,0.5
BEL,2019,Other Energy Efficiency ,4.58
BEL,2019,Other Road Transport,5.5
BEL,2019,Renewable Energy Integration in Buildings,2.0
BEL,2019,Solar,8.75
BEL,2019,Storage (not electromobility),13.67
BEL,2019,Wind,1.5
BEN,2000,All technologies (total patents),0.33
BEN,2005,All technologies (total patents),0.33
BEN,2016,All technologies (total patents),0.06
BEN,2017,All technologies (total patents),0.19
BEN,2018,All technologies (total patents),0.5
BEN,2019,All technologies (total patents),0.33
BFA,1990,All technologies (total patents),2.0
BFA,2010,All technologies (total patents),4.83
BFA,2010,Other Energy Efficiency ,0.5
BFA,2015,All technologies (total patents),0.5
BFA,2016,All technologies (total patents),0.33
BGD,1990,All technologies (total patents),1.0
BGD,2000,All technologies (total patents),3.67
BGD,2005,All technologies (total patents),19.76
BGD,2005,Building Energy Efficiency,0.33
BGD,2005,Hydrogen and Fuel Cells,0.25
BGD,2005,Other Energy Efficiency ,0.5
BGD,2010,All technologies (total patents),16.96
BGD,2010,Bioenergy,0.5
BGD,2010,Building Energy Efficiency,0.5
BGD,2010,Carbon Capture and Storage,0.5
BGD,2010,Hydrogen and Fuel Cells,0.5
